display_name,full_name,gender,age,date_of_birth,bowling_style,position_name,country_name
Mithun Jayawickrama,Mithun Sandamal Sudirikku Jayawickrama,M,35,1990-06-28T00:00Z,Right-arm offbreak,Allrounder,Sri Lanka
Charith Fernando,Guruge Charith Madushanka Fernando,M,33,1992-08-18T00:00Z,Right-arm medium-fast,Unknown,Sri Lanka
Rumesh Buddika,Muthukumarana Landage Rumesh Buddika,M,35,1990-11-14T00:00Z,Right-arm offbreak,Top-order batter,Sri Lanka
Oshada Fernando,Bodiyabaduge Oshada Piyumal Fernando,M,34,1992-04-15T00:00Z,Legbreak,Top-order batter,Sri Lanka
Rajitha Wickramarachchi,Kalubowilage Rajitha Sameera Wickramarachchi,M,38,1987-12-21T00:00Z,,Wicketkeeper batter,Sri Lanka
Gurshwin Rabie,Gurshwin Renier Rabie,M,42,1983-06-26T00:00Z,Right-arm fast-medium,Unknown,South Africa
Omar Hayat,Omar Hayat,M,42,1983-10-11T00:00Z,Right-arm offbreak,Unknown,Denmark
Ed Young,Edward George Christopher Young,M,36,1989-05-21T00:00Z,Slow left-arm orthodox,Unknown,England
Shivanga Ranasuriya,Loku Satu Hewage Shivanga Anthony Prashan Ranasuriya,M,36,1990-01-17T00:00Z,Right-arm offbreak,Batter,Sri Lanka
Chris Russell,Christopher James Russell,M,37,1989-02-16T00:00Z,Right-arm medium-fast,Unknown,England
John Vujnovich,John Mattew Vujnovich,M,54,1971-12-24T00:00Z,Right-arm medium,Unknown,Croatia
Anthony Govorko,Tony Govorko,M,54,1971-07-01T00:00Z,,Wicketkeeper,Croatia
Jeffrey Grzinic,Jeffrey Grzinic,M,51,1975-01-27T00:00Z,Right-arm medium,Unknown,Croatia
Sayed Nasratullah,Sayed Nasratullah,M,41,1984-05-10T00:00Z,Slow left-arm orthodox,Unknown,Afghanistan
Anthony Hawkins-Kay,Anthony Wilfrid Hawkins-Kay,M,35,1990-05-19T00:00Z,Right-arm fast-medium,Unknown,Jersey
Faraz Ahmed,Faraz Ahmed Khan,M,41,1984-10-16T00:00Z,Slow left-arm orthodox,Unknown,Pakistan
Jeffrey Vandersay,Jeffrey Dexter Francis Vandersay,M,36,1990-02-05T00:00Z,Legbreak,Bowler,Sri Lanka
Shahzaib Hasan,Mohammad Shahzaib Hasan Khan,M,36,1989-12-25T00:00Z,Right-arm offbreak,Opening batter,Pakistan
Tanveer Sikandar,Tanveer Sikandar,M,39,1987-02-06T00:00Z,Right-arm medium,Unknown,Pakistan
Toby Roland-Jones,Tobias Skelton Roland-Jones,M,38,1988-01-29T00:00Z,Right-arm medium-fast,Bowler,England
Juanre van Wyk,Juanre van Wyk,M,37,1989-03-20T00:00Z,,Unknown,South Africa
Luke Feldman,Luke William Feldman,M,41,1984-08-01T00:00Z,Right-arm fast-medium,Unknown,Australia
Mohammad Awais,Mohammad Awais,M,33,1992-10-25T00:00Z,,Unknown,Pakistan
Jonathon Webb,Jonathon Patrick Webb,M,34,1992-01-12T00:00Z,Right-arm medium,Unknown,England
Kevon Cooper,Kevon Keston Cooper,M,37,1989-02-16T00:00Z,Right-arm medium,Allrounder,West Indies
Navin Stewart,Navin Derrick Stewart,M,42,1983-06-13T00:00Z,Right-arm fast-medium,Batter,West Indies
Daron Cruickshank,Daron Alfred Cruickshank,M,39,1986-06-17T00:00Z,Right-arm medium,Unknown,West Indies
Ethan O'Reilly,Ethan O'Reilly,M,40,1985-12-27T00:00Z,Right-arm fast,Unknown,South Africa
Ben Stevens,Benjamin David Hodfinger Stevens,M,34,1992-05-05T00:00Z,Slow left-arm orthodox,Unknown,Jersey
Temba Bavuma,Temba Bavuma,M,35,1990-05-17T00:00Z,Right-arm medium,Middle-order batter,South Africa
Sean Nowak,Sean Andrew Nowak,M,39,1987-01-06T00:00Z,Right-arm fast,Unknown,South Africa
Aslam Sattar,Aslam Sattar Manganhar,M,41,1985-03-05T00:00Z,Legbreak,Unknown,Pakistan
Ashok Menaria,Ashok Lakshminarayan Menaria,M,35,1990-10-29T00:00Z,Slow left-arm orthodox,Allrounder,India
Abul Hasan,Mohammed Abul Hasan,M,33,1992-08-05T00:00Z,Right-arm medium-fast,Bowler,Bangladesh
Sabbir Rahman,Mohammad Sabbir Rahman,M,34,1991-11-22T00:00Z,Legbreak,Batting allrounder,Bangladesh
Abzal Dean,Abzal S Dean,M,43,1983-02-23T00:00Z,Right-arm offbreak,Bowler,Canada
Somila Seyibokwe,Somila Seyibokwe,M,38,1987-10-31T00:00Z,Right-arm medium,Unknown,South Africa
Azam Khan,Azam Khan,M,0,,,Unknown,Pakistan
Emon Ahmed,Emon Ahmed,M,0,,,Unknown,Bangladesh
Robiul Islam Robi,Robiul Islam Robi,M,35,1990-10-15T00:00Z,Right-arm offbreak,Opening batter,Bangladesh
Mominul Haque,Mominul Haque,M,34,1991-09-29T00:00Z,Slow left-arm orthodox,Batting allrounder,Bangladesh
Hardus Viljoen,GC Viljoen,M,37,1989-03-06T00:00Z,Right-arm fast,Bowler,South Africa
Douglas Baartman,Douglas Donay George Baartman,M,40,1985-06-19T00:00Z,Right-arm medium-fast,Unknown,South Africa
Kamrul Islam,Kamrul Islam Rabbi,M,34,1991-12-10T00:00Z,Right-arm medium-fast,Bowler,Bangladesh
Nizar Niyas,Nizar Niyas,M,35,1990-08-18T00:00Z,Right-arm medium,Unknown,India
Akshath Reddy,Produturi Akshath Reddy,M,35,1991-02-11T00:00Z,Legbreak,Opening batter,India
Anupam Patel,Anupam Sukhabhai Patel,M,41,1985-05-01T00:00Z,Right-arm medium,Unknown,India
Rohan  Bhosale,Rohan Udaysingh Bhosale,M,37,1988-09-30T00:00Z,Right-arm medium,Unknown,India
Jaskaran Singh,Jaskaran Singh Buttar,M,36,1989-09-04T00:00Z,Right-arm medium,Bowler,Canada
Michael Neser,Michael Gertges Neser,M,36,1990-03-29T00:00Z,Right-arm medium-fast,Bowling allrounder,Australia
Umesh Yadav,Umeshkumar Tilak Yadav,M,38,1987-10-25T00:00Z,Right-arm fast,Bowler,India
Jagrit Anand,Jagrit Anand,M,36,1989-07-15T00:00Z,Right-arm medium,Unknown,India
Sameer Mohanty,Sameer Ranjan Mohanty,M,40,1986-03-12T00:00Z,,Unknown,India
Rahul Dewan,Rahul Dewan,M,39,1986-07-15T00:00Z,Right-arm offbreak,Unknown,India
Rana Dutta,Rana Dutta,M,36,1989-05-15T00:00Z,Right-arm medium,Bowler,India
Anureet Singh,Kathuria Anureet Singh,M,38,1988-03-02T00:00Z,Right-arm medium,Bowler,India
Mehul Patel,Mehul Suryakant Patel,M,41,1984-11-17T00:00Z,Right-arm medium,Unknown,India
Dasari Swaroop Kumar,Dasari Swaroop Kumar,M,40,1986-05-07T00:00Z,Legbreak googly,Unknown,India
Utkarsh Patel,Utkarsh Balwantbhai Patel,M,38,1987-10-11T00:00Z,Right-arm offbreak,Unknown,India
Rahul Yadav,Rahul Mahesh Yadav,M,37,1989-01-15T00:00Z,,Unknown,India
Sufiyan Shaikh,Sufiyan Mehboob Shaikh,M,35,1990-11-25T00:00Z,,Unknown,India
Lokesh Sharma,Lokesh Sharma,M,38,1987-08-29T00:00Z,Right-arm fast-medium,Unknown,India
Prashant Gupta,Prashant SK Gupta,M,37,1988-06-23T00:00Z,Legbreak googly,Unknown,India
Shoaib Shaikh,Shoaib Shabbir Shaikh,M,39,1987-01-18T00:00Z,Right-arm medium,Unknown,India
Tarun Nethula,Tarun Sai Nethula,M,42,1983-05-08T00:00Z,Legbreak,Bowler,New Zealand
Ranjeet Mali,Ranjeet Laxman Mali,M,37,1988-11-05T00:00Z,Right-arm medium,Unknown,India
Yannick Elliott,Yannick Ricardo Elliott,M,39,1986-06-15T00:00Z,Right-arm offbreak,Unknown,West Indies
Shashank Singh,Shashank Singh,M,34,1991-11-21T00:00Z,Right-arm medium,Batting allrounder,India
Timroy Allen,Timroy Patrick Allen,M,39,1987-01-22T00:00Z,Right-arm fast-medium,Bowler,United States of America
Dhiraj Singh,Dhiraj Kumar Singh,M,38,1987-11-21T00:00Z,Slow left-arm orthodox,Bowler,India
Mohammed Mudhasir,Mohammed Mudhasir Gujree,M,37,1988-10-21T00:00Z,Right-arm medium,Unknown,India
Parvez Rasool,Parvez Ghulam Rasool Zargar,M,37,1989-02-13T00:00Z,Right-arm offbreak,Bowling allrounder,India
Andrew Lamb,Andrew Robert Lamb,M,48,1978-03-01T00:00Z,Right-arm fast-medium,Unknown,New Zealand
Riyaad Henry,Riyaad Henry,M,33,1992-07-04T00:00Z,Right-arm medium-fast,Unknown,South Africa
Chris Sabburg,Christopher John Martin Sabburg,M,36,1990-01-02T00:00Z,Right-arm offbreak,Batting allrounder,Australia
Rabian Engelbrecht,Rabian Jemaine Engelbrecht,M,33,1992-11-04T00:00Z,Right-arm medium-fast,Unknown,South Africa
Avumile Mnci,Avumile Mnci,M,34,1991-12-18T00:00Z,,Unknown,South Africa
Sonwabile Fassi,Sonwabile Siyabulela Siphiwo Fassi,M,35,1991-03-14T00:00Z,Right-arm medium,Unknown,South Africa
Mohammad Sanuth,Mohammad Ebrahim Sanuth,M,36,1989-07-25T00:00Z,Right-arm offbreak,Unknown,Oman
Hussein Alli,Hussein Alli,M,35,1990-08-02T00:00Z,Right-arm medium,Unknown,South Africa
Kagiso Rapulana,Kagiso Rapulana,M,34,1991-07-06T00:00Z,Right-arm medium,Unknown,South Africa
Johannes Diseko,Johannes Newty Diseko,M,35,1990-10-02T00:00Z,Slow left-arm orthodox,Unknown,South Africa
Arpit  Vasavada,Arpit Vyomahesh Vasavada,M,37,1988-10-25T00:00Z,Slow left-arm orthodox,Middle-order batter,India
Dominic Hendricks,Dominic Andrew Hendricks,M,35,1990-11-07T00:00Z,Right-arm offbreak,Top-order batter,South Africa
Kapil Yadav,Kapil Yadav,M,39,1987-03-17T00:00Z,Right-arm medium,Bowler,India
David Mauro,David Mauro,M,42,1983-10-31T00:00Z,Right-arm medium,Unknown,Argentina
Otlotleng Ramaboea,Otlotleng Onkabetse Ramaboea,M,36,1989-12-28T00:00Z,Slow left-arm orthodox,Unknown,South Africa
Devon Conway,Devon Philip Conway,M,34,1991-07-08T00:00Z,Right-arm medium,Wicketkeeper batter,New Zealand
Rico du Plessis,Rico du Plessis,M,35,1991-05-07T00:00Z,Right-arm medium,Unknown,South Africa
Graham Hume,Graham Ian Hume,M,35,1990-11-23T00:00Z,Right-arm fast-medium,Bowler,Ireland
Tabraiz Shamsi,Tabraiz Shamsi,M,36,1990-02-18T00:00Z,Left-arm wrist-spin,Bowler,South Africa
Giovani Gokoel,Giovani Inderdath Gokoel,M,33,1992-06-20T00:00Z,Right-arm offbreak,Unknown,Suriname
Adam Zampa,Adam Zampa,M,34,1992-03-31T00:00Z,Legbreak googly,Bowler,Australia
Justin Pitcher,Justine Eugene Pitcher,M,39,1987-02-17T00:00Z,Right-arm medium-fast,Allrounder,Bermuda
Kevon Bazil,Kevon Adrian Bazil,M,43,1982-05-18T00:00Z,Right-arm medium,Bowler,Cayman Islands
Quinton de Kock,Quinton de Kock,M,33,1992-12-17T00:00Z,,Wicketkeeper batter,South Africa
Jean Bredenkamp,Jean Milne Bredenkamp,M,33,1993-01-12T00:00Z,Right-arm medium-fast,Batter,South Africa
Monowar Hossain,Monowar Hossain,M,41,1984-07-10T00:00Z,Right-arm offbreak,Unknown,Bangladesh
Omar Willis,Omar Rudolph Willis,M,39,1986-11-25T00:00Z,Legbreak,Unknown,Cayman Islands
Kervin Ebanks,Kervin R Ebanks,M,37,1989-01-09T00:00Z,Right-arm medium-fast,Allrounder,Cayman Islands
Alessandro Morris,Alessandro Morris,M,43,1982-08-22T00:00Z,Right-arm offbreak,Unknown,Cayman Islands
James Price,Arthur James Norman Price,M,34,1992-01-08T00:00Z,Right-arm fast-medium,Unknown,South Africa
Vishal Joshi,Vishal Harishbhai Joshi,M,37,1989-05-01T00:00Z,Right-arm offbreak,Batting allrounder,India
Simphiwe Yiba,Simphiwe Yiba,M,33,1992-06-20T00:00Z,Right-arm fast,Unknown,South Africa
Sisanda Magala,Sisanda Somila Bruce Magala,M,35,1991-01-07T00:00Z,Right-arm fast-medium,Bowler,South Africa
Lionel Vaaltyn,Lionel Isaac Vaaltyn,M,34,1991-12-20T00:00Z,Legbreak,Unknown,South Africa
Sean Jamison,Sean Jamison,M,36,1990-01-27T00:00Z,Right-arm fast,Unknown,South Africa
Gionne Koopman,Gionne Verlynn James Koopman,M,34,1991-12-28T00:00Z,Legbreak,Unknown,South Africa
Colin Ackermann,Colin Niel Ackermann,M,35,1991-04-04T00:00Z,Right-arm offbreak,Batting allrounder,Netherlands
Jerry Nqolo,Maphelo Jerry Nqolo,M,34,1991-07-23T00:00Z,Right-arm medium,Unknown,South Africa
Ayavuya Myoli,Ayavuya Myoli,M,35,1990-06-08T00:00Z,Right-arm fast,Bowler,South Africa
Malcolm Nofal,Malcolm John Nofal,M,34,1991-09-18T00:00Z,Slow left-arm orthodox,Opening batter,New Zealand
Emile Kriek,Emile Christiaan Kriek,M,36,1989-12-11T00:00Z,Right-arm medium,Unknown,South Africa
Lizaad Williams,Lizaad Buyron Williams,M,32,1993-10-01T00:00Z,Right-arm medium-fast,Bowler,South Africa
Bruce Kruger,Bruce Thomas Kruger,M,34,1991-05-25T00:00Z,Right-arm offbreak,Unknown,South Africa
Chad Bowes,Chad Jayson Bowes,M,33,1992-10-19T00:00Z,Right-arm medium,Top-order batter,New Zealand
Kushen Kishun,Kushen Roshen Kishun,M,34,1991-07-10T00:00Z,Legbreak,Unknown,South Africa
Brad Dolley,Brad Matthew Dolley,M,33,1992-07-07T00:00Z,Legbreak,Unknown,South Africa
Matt Hulett,Mathew Mark Hulett,M,34,1991-08-01T00:00Z,Legbreak,Unknown,South Africa
Kirk Wernars,Kirk Ogilvy Wernars,M,34,1991-06-14T00:00Z,Right-arm fast-medium,Unknown,South Africa
Suhail Razack,Suhail Mahomed Razack,M,33,1992-05-26T00:00Z,Right-arm medium,Unknown,South Africa
Dane Piedt,Dane Leeroy Piedt,M,36,1990-03-06T00:00Z,Right-arm offbreak,Bowler,South Africa
Imran Nackerdien,Imran Nackerdien,M,36,1990-04-21T00:00Z,Legbreak,Unknown,South Africa
Beuran Hendricks,Beuran Eric Hendricks,M,35,1990-06-08T00:00Z,Left-arm fast-medium,Bowler,South Africa
Pritam Debnath,Pritam Khokhan Debnath,M,38,1987-07-25T00:00Z,,Unknown,India
Yaju Krishanatry,Yaju Vendra Krishanatry,M,42,1983-12-14T00:00Z,Right-arm medium,Unknown,India
LM Helambage,Helambage Leven Moshin,M,37,1988-09-01T00:00Z,Right-arm offbreak,Unknown,Sri Lanka
Anamul Haque,Mohammad Anamul Haque Bijoy,M,33,1992-12-16T00:00Z,,Wicketkeeper batter,Bangladesh
Habibur Rahman,MD Habibur Rahman,M,38,1987-07-18T00:00Z,Right-arm offbreak,Allrounder,Bangladesh
Obed Harvey,Obed Harvey Agbomadzie,M,35,1990-06-01T00:00Z,Left-arm medium,Unknown,Ghana
Michael Rippon,Michael James Grattan Rippon,M,34,1991-09-14T00:00Z,Left-arm wrist-spin,Allrounder,New Zealand
James Cameron-Dow,James Cameron-Dow,M,35,1990-05-18T00:00Z,Slow left-arm orthodox,Unknown,Ireland
Reginald Modise,Reginald Gqolathwe Modise,M,36,1989-09-12T00:00Z,Legbreak,Unknown,South Africa
Desmond de Koker,Desmond de Koker,M,34,1991-06-01T00:00Z,Right-arm medium-fast,Unknown,South Africa
Nick Hendrie,Nick Hendrie,M,34,1992-02-05T00:00Z,Left-arm medium,Unknown,South Africa
Bokang Mosena,Bokang Braine Mosena,M,35,1991-02-06T00:00Z,Right-arm medium,Unknown,South Africa
Chimezie Onwuzulike,Chimezie Nnamdi Onwuzulike,M,38,1987-07-31T00:00Z,Right-arm medium,Unknown,Nigeria
Segun Olayinka,Segun Olalekan Olayinka,M,37,1988-08-12T00:00Z,,Unknown,Nigeria
Peter-John Jansen,Peter-John Ashley Jansen,M,35,1990-08-06T00:00Z,Right-arm offbreak,Unknown,South Africa
Graeme van Buuren,Graeme Lourens van Buuren,M,35,1990-08-22T00:00Z,Slow left-arm orthodox,Bowling allrounder,England
Simon Khomari,Simon Mosouenyane Khomari,M,34,1991-10-10T00:00Z,Slow left-arm orthodox,Unknown,South Africa
Shershan Naidoo,Shershan Naidoo,M,36,1990-01-29T00:00Z,Right-arm offbreak,Unknown,South Africa
Christiaan Schoeman,Christiaan Frederik Schoeman,M,35,1990-08-13T00:00Z,Slow left-arm orthodox,Unknown,South Africa
Sunzamul Islam,Sunzamul Islam,M,36,1990-01-17T00:00Z,Slow left-arm orthodox,Bowling allrounder,Bangladesh
Thomas Kaber,Thomas Phillip Kaber,M,33,1992-06-14T00:00Z,Left-arm wrist-spin,Allrounder,South Africa
Mujahid Behardien,Mujahid Behardien,M,35,1991-04-30T00:00Z,,Unknown,South Africa
Sammy Mofokeng,Samuel Fese Mofokeng,M,34,1991-08-05T00:00Z,Right-arm fast-medium,Unknown,South Africa
Patrick Botha,Patrick Botha,M,36,1990-01-23T00:00Z,Right-arm offbreak,Unknown,South Africa
Michael Alexander,Michael Gray Alexander,M,35,1990-10-31T00:00Z,Right-arm medium-fast,Unknown,South Africa
Gihahn Cloete,Gihahn Love Cloete,M,33,1992-10-04T00:00Z,Right-arm offbreak,Wicketkeeper batter,South Africa
Keagan Rafferty,Keagan Oliver Rafferty,M,34,1992-05-06T00:00Z,Right-arm medium,Unknown,South Africa
Victor Mahlangu,Victor Bafana Mahlangu,M,35,1990-10-05T00:00Z,Right-arm medium,Unknown,South Africa
Curtis Salley,Curtis Salley,M,35,1990-11-06T00:00Z,Right-arm medium,Unknown,South Africa
Warwick Abrahim,Warwick Abrahim,M,35,1990-07-04T00:00Z,Right-arm medium,Unknown,South Africa
Mathew Boote,Mathew William Boote,M,35,1990-08-07T00:00Z,,Unknown,South Africa
Evan Gulbis,Evan Peter Gulbis,M,40,1986-03-26T00:00Z,Right-arm medium,Allrounder,Australia
Beau Webster,Beau Jacob Webster,M,32,1993-12-01T00:00Z,Right-arm medium,Allrounder,Australia
Fiqre Crockwell,Fiqre Salassie Crockwell,M,30,1985-07-08T00:00Z,,Opening batter,Bermuda
Amit Baloria,Amit Baloria,M,41,1984-10-24T00:00Z,Right-arm medium,Middle-order batter,India
Daryl Mitchell,Daryl Joseph Mitchell,M,34,1991-05-20T00:00Z,Right-arm medium,Batting allrounder,New Zealand
Dinesh Mantri,DL Mantri,M,0,,,Unknown,India
Bibhudutta Panda,Bibhudutta Lingaraj Panda,M,37,1989-03-14T00:00Z,Right-arm medium,Batting allrounder,India
Anaru Kitchen,Anaru Kyle Kitchen,M,42,1984-02-21T00:00Z,Slow left-arm orthodox,Middle-order batter,New Zealand
Mohammad Rahi,Mohammad Rahi,M,39,1986-12-26T00:00Z,Right-arm offbreak,Unknown,Bangladesh
Hammad Azam,Hammad Azam,M,35,1991-03-16T00:00Z,Right-arm medium,Middle-order batter,Pakistan
Zahoor Khan,Zahoor Khan,M,36,1989-05-25T00:00Z,Right-arm medium-fast,Bowler,United Arab Emirates
Ali Talpur,Mir Ali Khan Talpur,M,37,1988-10-09T00:00Z,Right-arm medium-fast,Unknown,Pakistan
Andri Berenger,Andri Raffaelo Berenger,M,34,1991-08-29T00:00Z,,Opening batter,Qatar
Kaleem Sana,Kaleem Sana Rehman,M,32,1994-01-01T00:00Z,Left-arm medium-fast,Bowler,Canada
Taimur Ahmed,Taimur Ahmed Dogar,M,42,1983-07-24T00:00Z,Right-arm offbreak,Unknown,Pakistan
Sarmad Anwar,Sarmad Anwar,M,37,1988-08-19T00:00Z,Right-arm fast-medium,Bowler,Pakistan
Ruvinda Shamen,Manimelwadu Ruvinda Shamen,M,34,1991-11-02T00:00Z,Left-arm medium-fast,Unknown,Sri Lanka
Dilan Gangoda,Dilan Chathuraga Gangoda,M,36,1989-09-29T00:00Z,,Unknown,Sri Lanka
Kobus Delport,Kobus Delport,M,0,,,Unknown,Namibia
Anthony Lark,Anthony Lark,M,36,1989-11-11T00:00Z,Right-arm medium,Batting allrounder,Austria
Jeremy Dean,Jeremy James Barton Dean,M,40,1985-09-05T00:00Z,,Unknown,New Zealand
Adil Amin,Adil Amin,M,35,1990-12-13T00:00Z,Right-arm offbreak,Unknown,Pakistan
Taibur Rahman,Taibur Rahman,M,34,1991-08-10T00:00Z,Slow left-arm orthodox,Allrounder,Bangladesh
Bishawnath Halder,Bishawnath Halder,M,39,1987-02-01T00:00Z,Slow left-arm orthodox,Unknown,Bangladesh
Tim Cruickshank,Timothy Dale Cruickshank,M,43,1982-05-19T00:00Z,,Unknown,Australia
Israrullah,Israrullah,M,33,1992-05-15T00:00Z,Slow left-arm orthodox,Unknown,Pakistan
Sanitha de Mel,Vidanalage Sanitha Ruwantha de Mel,M,33,1992-11-15T00:00Z,Right-arm medium-fast,Unknown,Sri Lanka
Siviwe Gidana,Siviwe Gidana,M,38,1987-08-07T00:00Z,Right-arm medium-fast,Unknown,South Africa
Ashen Silva,Weerakkody Arachchige Ashen Maura Silva,M,35,1990-07-12T00:00Z,Right-arm offbreak,Opening batter,Sri Lanka
Chris Cooke,Christopher Barry Cooke,M,39,1986-05-30T00:00Z,Right-arm slow-medium,Wicketkeeper batter,England
Mosaddek Iftekhar,Mosaddek Iftekhar,M,36,1989-12-26T00:00Z,Right-arm offbreak,Unknown,Bangladesh
Zeeshan Ali,Zeeshan Ali,M,36,1989-06-16T00:00Z,,Wicketkeeper batter,Hong Kong
Ata-ur-Rehman,Ata-ur-Rehman,M,39,1986-10-29T00:00Z,Right-arm offbreak,Unknown,Pakistan
Asif Afridi,Asif Khan Afridi,M,39,1986-12-25T00:00Z,Slow left-arm orthodox,Bowling allrounder,Pakistan
Brendon Louw,Brendon Ivan Louw,M,34,1991-11-15T00:00Z,,Unknown,South Africa
Shafraz Jaleel,Shafraz Jaleel,M,38,1987-08-28T00:00Z,,Unknown,Maldives
Amir Ali,Syed Amir Ali,M,47,1978-11-24T00:00Z,Right-arm offbreak,Batter,Oman
Mohamed Mahfooz,Mohamed Mahfooz,M,38,1987-07-09T00:00Z,Slow left-arm orthodox,Unknown,Maldives
Abdullah Shahid,Abdullah Shahid,M,51,1974-06-04T00:00Z,Right-arm medium-fast,Unknown,Maldives
Ahmed Hassan,Ahmed Hassan,M,36,1989-07-01T00:00Z,Right-arm offbreak,Unknown,Maldives
Malith Cooray,Malith Lalitha Cooray,M,36,1990-01-30T00:00Z,Right-arm fast-medium,Allrounder,Sri Lanka
Vani Morea,Vani Vagi Morea,M,43,1983-03-13T00:00Z,Right-arm medium,Middle-order batter,Papua New Guinea
Mirwais Ashraf,Mirwais Ashraf,M,37,1988-09-04T00:00Z,Right-arm fast-medium,Bowler,Afghanistan
Ryan Hutton,Ryan Frederick Hutton,M,44,1981-12-30T00:00Z,,Unknown,Philippines
Christi Viljoen,Christoffel Viljoen,M,38,1987-09-28T00:00Z,Right-arm medium,Allrounder,Namibia
Mohammad Saad,Mohammad Saad,M,36,1990-03-24T00:00Z,,Unknown,Pakistan
Rizwan Haider,Rizwan Haider,M,40,1985-06-16T00:00Z,Left-arm medium-fast,Unknown,Pakistan
Asif Ali,Asif Ali,M,37,1989-04-13T00:00Z,Slow left-arm orthodox,Unknown,Pakistan
Mihusan Hamid,Mihusan Hamid,M,34,1991-06-06T00:00Z,Right-arm offbreak,Unknown,Maldives
Ockert Erasmus,Ockert Johannes Erasmus,M,38,1988-01-20T00:00Z,Right-arm offbreak,Unknown,South Africa
Imran Khan,Imran Khan,M,36,1990-01-12T00:00Z,Left-arm medium,Unknown,Pakistan
Sonam Tobgay,Sonam Tobgay,M,36,1990-03-25T00:00Z,Right-arm medium,Unknown,Bhutan
Kaleem Ahmed,Kaleem Ahmed,M,34,1991-10-26T00:00Z,,Unknown,Pakistan
Adnan Baig,Adnan Baig,M,41,1984-05-19T00:00Z,,Unknown,Pakistan
Dusan Hakaraia,Dusan Neha Hakaraia,M,42,1983-05-30T00:00Z,Right-arm medium,Unknown,New Zealand
Thinley Jamtsho,Thinley Jamtsho,M,34,1992-03-15T00:00Z,Right-arm medium-fast,Unknown,Bhutan
Jigme Singye,Jigme Singye,M,33,1992-09-18T00:00Z,Legbreak,Unknown,Bhutan
Michael Pollard,Michael Alan Pollard,M,36,1989-11-02T00:00Z,,Unknown,New Zealand
Ili Tugaga,Malaesaili Julian Tugaga,M,36,1990-02-16T00:00Z,Right-arm fast-medium,Unknown,Samoa
Ben Dunk,Ben Robert Dunk,M,39,1987-03-11T00:00Z,Right-arm offbreak,Wicketkeeper batter,Australia
Marc Calkin,Marc John Edward Calkin,M,46,1979-11-29T00:00Z,Right-arm medium,Unknown,New Zealand
Ashish Reddy,Ammana Ashish Reddy,M,35,1991-02-24T00:00Z,Right-arm medium,Allrounder,India
Avadhanam Rakesh,Avadhanam Rakesh,M,39,1986-06-19T00:00Z,,Unknown,India
James Baker,James David Baker,M,38,1988-02-16T00:00Z,Right-arm medium-fast,Unknown,Samoa
Jono Boult,Jonathon James Boult,M,40,1985-11-29T00:00Z,Right-arm offbreak,Unknown,New Zealand
Marty Kain,Martin Owen Kain,M,37,1988-05-16T00:00Z,Slow left-arm orthodox,Unknown,United States of America
Tom Latham,Thomas William Maxwell Latham,M,34,1992-04-02T00:00Z,Right-arm medium,Wicketkeeper batter,New Zealand
MUB Sriram,Muramalla Uday Bhaskar Sriram,M,33,1992-09-21T00:00Z,Right-arm offbreak,Unknown,India
Arup Das,Arup Kamalkanta Das,M,34,1991-07-27T00:00Z,Right-arm medium,Unknown,India
Gaurav Gambhir,Gaurav Gambhir,M,38,1987-11-26T00:00Z,Right-arm offbreak,Unknown,India
Mohammad Abbas,Mohammad Abbas,M,36,1990-03-10T00:00Z,Right-arm medium-fast,Bowler,Pakistan
Manprit Juneja,Manprit Charanjit Juneja,M,35,1990-09-12T00:00Z,Right-arm offbreak,Top-order batter,India
Azhar Ansari,Azhar Ahmed Ansari,M,36,1990-01-18T00:00Z,,Unknown,India
Rahul Shukla,Rahul Shukla,M,35,1990-08-28T00:00Z,Right-arm medium,Bowler,India
Rameez Nemat,Rameez Khan Nemat,M,39,1986-11-14T00:00Z,,Unknown,India
Qamar Abbas,Syed Qamar Abbas,M,43,1982-11-26T00:00Z,Right-arm offbreak,Unknown,Pakistan
Pranay Sharma,Pranay Inder Sharma,M,38,1988-03-16T00:00Z,Right-arm medium,Opening batter,India
Harshal Patel,Harshal Vikram Patel,M,35,1990-11-23T00:00Z,Right-arm medium,Bowling allrounder,India
Rangaraj Suthesh, Rangaraj Suthesh,M,39,1987-04-08T00:00Z,Left-arm medium,Bowler,India
Ashfaq Ahmed,Ashfaq Ahmed,M,39,1987-04-22T00:00Z,Right-arm medium-fast,Unknown,Pakistan
Rohit Dahiya,Rohit Pradeep Dahiya,M,38,1988-03-31T00:00Z,Right-arm medium,Bowler,India
Agha Shahid, Agha Shahid Hussain,M,42,1984-01-13T00:00Z,Slow left-arm orthodox,Unknown,India
Abdul Ghaffar,Abdul Ghaffar,M,35,1990-12-20T00:00Z,Left-arm medium-fast,Unknown,Pakistan
Reagan Pinto,Reagan John Pinto,M,34,1991-09-21T00:00Z,Legbreak googly,Unknown,India
Manisankar  Murasingh,Manisankar Bhagyamani Murasingh,M,33,1993-01-01T00:00Z,Right-arm medium,Allrounder,India
Suraj Dongre,Suraj Rukmana Dongre,M,36,1989-12-27T00:00Z,Left-arm medium,Unknown,India
Jaydev Unadkat,Jaydev Dipakbhai Unadkat,M,34,1991-10-18T00:00Z,Left-arm medium,Bowler,India
Lagnajit Samal,Lagnajit Lalatendu Samal,M,36,1989-09-29T00:00Z,Right-arm medium,Unknown,India
