player,salary,team,country,season,role,type
₹1.5 Cr,Adam Zampa,RCB,🇦🇺 Australia,2025,Bowler,Auction
₹1.5 Cr,Rovman Powell,KKR,🌍 Overseas,2025,Batter,Auction
₹1.5 Cr,Harpreet Brar,PBKS,🇮🇳 India,2025,Bowler,Auction
₹1.5 Cr,Romario Shepherd,RCB,🌍 Overseas,2025,All-rounder,Auction
₹1.5 Cr,Kwena Maphaka,RR,🇿🇦 South Africa,2025,Bowler,Auction
₹1.5 Cr,Simarjeet Singh,SRH,🇮🇳 India,2025,Bowler,Auction
₹1.3 Cr,Arshad Khan,GT,🇮🇳 India,2025,All-rounder,Auction
₹1.3 Cr,Gurnoor Brar,GT,🇮🇳 India,2025,Bowler,Auction
₹1.25 Cr,Aaron Hardie,PBKS,🌍 Overseas,2025,All-rounder,Auction
₹1.2 Cr,Akash Madhwal,RR,🇮🇳 India,2025,Bowler,Auction
₹1.2 Cr,Eshan Malinga,SRH,🌍 Overseas,2025,Bowler,Auction
₹1.1 Cr,Vaibhav Sooryavanshi,RR,🇮🇳 India,2025,Batter,Auction
₹1 Cr,Jaydev Unadkat,SRH,🇮🇳 India,2025,Bowler,Auction
₹1 Cr,Kyle Jamieson,PBKS,🇳🇿 New Zealand,2025,Bowler,Replacement
₹1 Cr,Ryan Rickelton,MI,🇿🇦 South Africa,2025,WK-Batter,Auction
₹1 Cr,Lungi Ngidi,RCB,🌍 Overseas,2025,Bowler,Auction
₹1 Cr,Brydon Carse,SRH,🌍 Overseas,2025,All-rounder,Auction
₹95 Lakh,Sameer Rizvi,DC,🇮🇳 India,2025,Batter,Auction
₹95 Lakh,Vishnu Vinod,PBKS,🇮🇳 India,2025,WK-Batter,Auction
₹80 Lakh,Xavier Bartlett,PBKS,🌍 Overseas,2025,Bowler,Auction
₹80 Lakh,Kuldeep Sen,PBKS,🇮🇳 India,2025,Bowler,Auction
₹80 Lakh,Shubham Dubey,RR,🇮🇳 India,2025,All-rounder,Auction
₹75 Lakh,Sarfaraz Khan,CSK,🇮🇳 India,2025,Batter,Auction
₹75 Lakh,Prithvi Shaw,DC,🇮🇳 India,2025,Batter,Auction
₹75 Lakh,Manish Pandey,KKR,🇮🇳 India,2025,Batter,Auction
₹75 Lakh,Ishant Sharma,GT,🇮🇳 India,2025,Bowler,Auction
₹75 Lakh,Umran Malik,KKR,🇮🇳 India,2025,Bowler,Auction
₹75 Lakh,Deepak Hooda,CSK,🇮🇳 India,2025,All-rounder,Auction
₹75 Lakh,Dushmantha Chameera,DC,🌍 Overseas,2025,Bowler,Auction
₹75 Lakh,Jayant Yadav,GT,🇮🇳 India,2025,All-rounder,Auction
₹75 Lakh,Karim Janat,GT,🌍 Overseas,2025,All-rounder,Auction
₹75 Lakh,Shamar Joseph,LSG,🌍 Overseas,2025,Bowler,Auction
₹75 Lakh,Manimaran Siddharth,LSG,🇮🇳 India,2025,Bowler,Auction
₹75 Lakh,Reece Topley,MI,🌍 Overseas,2025,Bowler,Auction
₹75 Lakh,Lizaad Williams,MI,🌍 Overseas,2025,Bowler,Auction
₹75 Lakh,Kamindu Mendis,SRH,🌍 Overseas,2025,All-rounder,Auction
₹65 Lakh,Kumar Kushagra,GT,🇮🇳 India,2025,WK-Batter,Retention
₹50 Lakh,Karun Nair,DC,🇮🇳 India,2025,Batter,Retention
₹50 Lakh,Swapnil Singh,RCB,🇮🇳 India,2025,All-rounder,Retention
₹50 Lakh,Vipraj Nigam,DC,🇮🇳 India,2025,All-rounder,Auction
₹40 Lakh,Madhav Tiwari,DC,🇮🇳 India,2025,All-rounder,Auction
₹40 Lakh,Anukul Roy,KKR,🇮🇳 India,2025,All-rounder,Auction
₹40 Lakh,Zeeshan Ansari,SRH,🇮🇳 India,2025,Bowler,Auction
₹35 Lakh,Yudhvir Charak,RR,🇮🇳 India,2025,Bowler,Auction
₹30 Lakh,Ayush Mhatre,CSK,🇮🇳 India,2025,Batter,Replacement
₹30 Lakh,Urvil Patel,CSK,🇮🇳 India,2025,WK-Batter,Replacement
₹30 Lakh,Shreyas Gopal,CSK,🇮🇳 India,2025,Bowler,Auction
₹30 Lakh,Mukesh Choudhary,CSK,🇮🇳 India,2025,Bowler,Retention
₹30 Lakh,Darshan Nalkande,DC,🇮🇳 India,2025,Bowler,Auction
₹30 Lakh,Ajay Jadav Mandal,DC,🇮🇳 India,2025,All-rounder,Auction
₹30 Lakh,Tripurana Vijay,DC,🇮🇳 India,2025,All-rounder,Auction
₹30 Lakh,Manvanth Kumar,DC,🇮🇳 India,2025,All-rounder,Auction
₹30 Lakh,Anuj Rawat,GT,🇮🇳 India,2025,WK-Batter,Auction
₹30 Lakh,Kulwant Khejroliya,GT,🇮🇳 India,2025,Bowler,Auction
₹30 Lakh,Luvnith Sisodia,KKR,🇮🇳 India,2025,WK-Batter,Auction
₹30 Lakh,Aryan Juyal,LSG,🇮🇳 India,2025,WK-Batter,Auction
₹30 Lakh,Arshin Kulkarni,LSG,🇮🇳 India,2025,Batter,Auction
₹30 Lakh,Digvesh Rathi,LSG,🇮🇳 India,2025,Bowler,Auction
₹30 Lakh,Akash Singh,LSG,🇮🇳 India,2025,Bowler,Auction
₹30 Lakh,Rajvardhan Hangargekar,LSG,🇮🇳 India,2025,All-rounder,Auction
₹30 Lakh,Himmat Singh,LSG,🇮🇳 India,2025,Batter,Auction
₹30 Lakh,Prince Yadav,LSG,🇮🇳 India,2025,Bowler,Auction
₹30 Lakh,Yuvraj Chaudhary,LSG,🇮🇳 India,2025,All-rounder,Auction
₹30 Lakh,Arjun Tendulkar,MI,🇮🇳 India,2025,All-rounder,Auction
₹30 Lakh,Raj Angad Bawa,MI,🇮🇳 India,2025,All-rounder,Auction
₹30 Lakh,Bevon Jacobs,MI,🌍 Overseas,2025,Batter,Auction
₹30 Lakh,Ashwani Kumar,MI,🇮🇳 India,2025,Bowler,Auction
₹30 Lakh,Vignesh Puthur,MI,🇮🇳 India,2025,All-rounder,Auction
₹30 Lakh,Shrijith Krishnan,MI,🇮🇳 India,2025,WK-Batter,Auction
₹30 Lakh,Venkata Satyanarayana,MI,🇮🇳 India,2025,Bowler,Auction
₹30 Lakh,Praveen Dubey,PBKS,🇮🇳 India,2025,All-rounder,Auction
₹30 Lakh,Suryansh Shedge,PBKS,🇮🇳 India,2025,Batter,Auction
₹30 Lakh,Musheer Khan,PBKS,🇮🇳 India,2025,Batter,Auction
₹30 Lakh,Pyla Avinash,PBKS,🇮🇳 India,2025,Bowler,Auction
₹30 Lakh,Harnoor Pannu,PBKS,🇮🇳 India,2025,Bowler,Auction
₹30 Lakh,Abhinandan Singh,RCB,🇮🇳 India,2025,Bowler,Auction
₹30 Lakh,Kumar Kartikeya,RR,🇮🇳 India,2025,Bowler,Auction
₹30 Lakh,Kunal Singh Rathore,RR,🇮🇳 India,2025,WK-Batter,Auction
₹30 Lakh,Ashok Sharma,RR,🇮🇳 India,2025,Bowler,Auction
₹30 Lakh,Aniket Verma,SRH,🇮🇳 India,2025,Batter,Auction
₹30 Lakh,Atharva Taide,SRH,🇮🇳 India,2025,Batter,Auction
₹30 Lakh,Sachin Baby,SRH,🇮🇳 India,2025,Batter,Auction
₹27 Cr,Rishabh Pant,LSG,🇮🇳 India,2026,WK-Batter,Retention
₹26.75 Cr,Shreyas Iyer,PBKS,🇮🇳 India,2026,Batter,Retention
₹25.2 Cr,Cameron Green,KKR,🇦🇺 Australia,2026,All-rounder,Auction
₹23 Cr,Heinrich Klaasen,SRH,🇿🇦 South Africa,2026,WK-Batter,Retention
₹21 Cr,Nicholas Pooran,LSG,🇹🇹 West Indies (Trinidad),2026,WK-Batter,Retention
₹21 Cr,Virat Kohli,RCB,🇮🇳 India,2026,Batter,Retention
₹18 Cr,Ruturaj Gaikwad,CSK,🇮🇳 India,2026,Batter,Trade
₹18 Cr,Sanju Samson,CSK,🇮🇳 India,2026,WK-Batter,Trade
₹18 Cr,Rashid Khan,GT,🇦🇫 Afghanistan,2026,Bowler,Retention
₹18 Cr,Matheesha Pathirana,KKR,🇱🇰 Sri Lanka,2026,Bowler,Auction
₹18 Cr,Jasprit Bumrah,MI,🇮🇳 India,2026,Bowler,Retention
₹18 Cr,Arshdeep Singh,PBKS,🇮🇳 India,2026,Bowler,Retention
₹18 Cr,Yuzvendra Chahal,PBKS,🇮🇳 India,2026,Bowler,Auction
₹18 Cr,Yashasvi Jaiswal,RR,🇮🇳 India,2026,Batter,Retention
₹18 Cr,Pat Cummins,SRH,🇦🇺 Australia,2026,Bowler,Retention
₹16.5 Cr,Axar Patel,DC,🇮🇳 India,2026,All-rounder,Retention
₹16.5 Cr,Shubman Gill,GT,🇮🇳 India,2026,Batter,Retention
₹16.35 Cr,Hardik Pandya,MI,🇮🇳 India,2026,All-rounder,Retention
₹16.35 Cr,Suryakumar Yadav,MI,🇮🇳 India,2026,Batter,Retention
₹16.3 Cr,Rohit Sharma,MI,🇮🇳 India,2026,Batter,Retention
₹15.75 Cr,Jos Buttler,GT,🏴󠁧󠁢󠁥󠁮󠁧󠁿 England,2026,WK-Batter,Auction
₹14.2 Cr,Kartik Sharma,CSK,🇮🇳 India,2026,WK-Batter,Auction
₹14.2 Cr,Prashant Veer,CSK,🇮🇳 India,2026,All-rounder,Auction
₹14 Cr,KL Rahul,DC,🇮🇳 India,2026,WK-Batter,Retention
₹14 Cr,Abhishek Sharma,SRH,🇮🇳 India,2026,Batter,Retention
₹14 Cr,Dhruv Jurel,RR,🇮🇳 India,2026,WK-Batter,Retention
₹14 Cr,Ravindra Jadeja,RR,🇮🇳 India,2026,All-rounder,Trade
₹14 Cr,Riyan Parag,RR,🇮🇳 India,2026,Batter,Retention
₹14 Cr,Travis Head,SRH,🇦🇺 Australia,2026,Batter,Retention
₹13.25 Cr,Kuldeep Yadav,DC,🇮🇳 India,2026,Bowler,Retention
₹13 Cr,Rinku Singh,KKR,🇮🇳 India,2026,Batter,Retention
₹13 Cr,Liam Livingstone,SRH,🏴󠁧󠁢󠁥󠁮󠁧󠁿 England,2026,All-rounder,Auction
₹12.5 Cr,Trent Boult,MI,🇳🇿 New Zealand,2026,Bowler,Retention
₹12.5 Cr,Jofra Archer,RR,🏴󠁧󠁢󠁥󠁮󠁧󠁿 England,2026,Bowler,Retention
₹12.5 Cr,Josh Hazlewood,RCB,🇦🇺 Australia,2026,Bowler,Retention
₹12.25 Cr,Mohammed Siraj,GT,🇮🇳 India,2026,Bowler,Retention
₹12 Cr,Shivam Dube,CSK,🇮🇳 India,2026,All-rounder,Retention
₹12 Cr,Sunil Narine,KKR,🇹🇹 West Indies (Trinidad),2026,All-rounder,Retention
₹12 Cr,Varun Chakravarthy,KKR,🇮🇳 India,2026,Bowler,Retention
₹12 Cr,Andre Russell,KKR,🇯🇲 West Indies (Jamaica),2026,All-rounder,Auction
₹11.75 Cr,Mitchell Starc,DC,🇦🇺 Australia,2026,Bowler,Retention
₹11.5 Cr,Phil Salt,RCB,🏴󠁧󠁢󠁥󠁮󠁧󠁿 England,2026,WK-Batter,Retention
₹11.25 Cr,Ishan Kishan,SRH,🇮🇳 India,2026,WK-Batter,Retention
₹11 Cr,Mayank Yadav,LSG,🇮🇳 India,2026,Bowler,Retention
₹11 Cr,Marcus Stoinis,PBKS,🇦🇺 Australia,2026,All-rounder,Auction
₹11 Cr,Shimron Hetmyer,RR,🇬🇾 West Indies (Guyana),2026,Batter,Retention
₹11 Cr,Jitesh Sharma,RCB,🇮🇳 India,2026,WK-Batter,Auction
₹11 Cr,Rajat Patidar,RCB,🇮🇳 India,2026,Batter,Retention
₹10.75 Cr,T Natarajan,DC,🇮🇳 India,2026,Bowler,Auction
₹10.75 Cr,Kagiso Rabada,GT,🇿🇦 South Africa,2026,Bowler,Retention
₹10.75 Cr,Bhuvneshwar Kumar,RCB,🇮🇳 India,2026,Bowler,Auction
₹10 Cr,Noor Ahmad,CSK,🇦🇫 Afghanistan,2026,Bowler,Retention
₹10 Cr,Tristan Stubbs,DC,🇿🇦 South Africa,2026,Batter,Retention
₹10 Cr,Mohammed Shami,LSG,🇮🇳 India,2026,Bowler,Auction
₹9.75 Cr,Avesh Khan,LSG,🇮🇳 India,2026,Bowler,Retention
₹9.5 Cr,Prasidh Krishna,GT,🇮🇳 India,2026,Bowler,Retention
₹9.25 Cr,Deepak Chahar,MI,🇮🇳 India,2026,Bowler,Auction
₹8.6 Cr,Josh Inglis,LSG,🇦🇺 Australia,2026,WK-Batter,Auction
₹8.5 Cr,Sai Sudharsan,GT,🇮🇳 India,2026,Batter,Retention
₹8.4 Cr,Auqib Nabi,DC,🇮🇳 India,2026,Bowler,Auction
₹8 Cr,Mukesh Kumar,DC,🇮🇳 India,2026,Bowler,Retention
₹8 Cr,Tilak Varma,MI,🇮🇳 India,2026,Batter,Retention
₹8 Cr,Harshal Patel,SRH,🇮🇳 India,2026,Bowler,Auction
₹7.2 Cr,Ravi Bishnoi,RR,🇮🇳 India,2026,Bowler,Auction
₹7 Cr,Jason Holder,GT,🇧🇧 West Indies (Barbados),2026,All-rounder,Auction
₹7 Cr,Marco Jansen,PBKS,🇿🇦 South Africa,2026,All-rounder,Auction
₹7 Cr,Venkatesh Iyer,RCB,🇮🇳 India,2026,All-rounder,Retention
₹6.5 Cr,Tushar Deshpande,RR,🇮🇳 India,2026,Bowler,Auction
₹6 Cr,Rasikh Salam,RCB,🇮🇳 India,2026,Bowler,Retention
₹6 Cr,Nitish Kumar Reddy,SRH,🇮🇳 India,2026,All-rounder,Retention
₹5.75 Cr,Krunal Pandya,RCB,🇮🇳 India,2026,All-rounder,Retention
₹5.5 Cr,Shashank Singh,PBKS,🇮🇳 India,2026,Batter,Retention
₹5.25 Cr,Naman Dhir,MI,🇮🇳 India,2026,All-rounder,Retention
₹5.25 Cr,Will Jacks,MI,🏴󠁧󠁢󠁥󠁮󠁧󠁿 England,2026,All-rounder,Retention
₹5.2 Cr,Rahul Chahar,CSK,🇮🇳 India,2026,Bowler,Retention
₹5.2 Cr,Mangesh Yadav,RCB,🇮🇳 India,2026,Bowler,Retention
₹5 Cr,Yash Dayal,RCB,🇮🇳 India,2026,Bowler,Retention
₹4.8 Cr,Khaleel Ahmed,CSK,🇮🇳 India,2026,Bowler,Retention
₹4.8 Cr,AM Ghazanfar,MI,🇦🇫 Afghanistan,2026,Bowler,Auction
₹4.2 Cr,Nitish Rana,DC,🇮🇳 India,2026,Batter,Retention
₹4.2 Cr,Abdul Samad,LSG,🇮🇳 India,2026,All-rounder,Retention
₹4.2 Cr,Nehal Wadhera,PBKS,🇮🇳 India,2026,Batter,Retention
₹4 Cr,MS Dhoni,CSK,🇮🇳 India,2026,WK-Batter,Retention
₹4 Cr,Abishek Porel,DC,🇮🇳 India,2026,WK-Batter,Retention
₹4 Cr,Pathum Nissanka,DC,🇱🇰 Sri Lanka,2026,Batter,Retention
₹4 Cr,Rahul Tewatia,GT,🇮🇳 India,2026,All-rounder,Retention
₹4 Cr,M Shahrukh Khan,GT,🇮🇳 India,2026,Batter,Retention
₹4 Cr,Harshit Rana,KKR,🇮🇳 India,2026,Bowler,Retention
₹4 Cr,Ramandeep Singh,KKR,🇮🇳 India,2026,All-rounder,Retention
₹4 Cr,Ayush Badoni,LSG,🇮🇳 India,2026,Batter,Retention
₹4 Cr,Mohsin Khan,LSG,🇮🇳 India,2026,Bowler,Retention
₹4 Cr,Prabhsimran Singh,PBKS,🇮🇳 India,2026,WK-Batter,Retention
₹4 Cr,Sandeep Sharma,RR,🇮🇳 India,2026,Bowler,Retention
₹3.8 Cr,Ashutosh Sharma,DC,🇮🇳 India,2026,Batter,Retention
₹3.8 Cr,Priyansh Arya,PBKS,🇮🇳 India,2026,Batter,Retention
₹3.5 Cr,Nandre Burger,RR,🇿🇦 South Africa,2026,Bowler,Auction
₹3.4 Cr,Anshul Kamboj,CSK,🇮🇳 India,2026,Bowler,Retention
₹3.4 Cr,Mitchell Marsh,LSG,🇦🇺 Australia,2026,All-rounder,Auction
₹3.2 Cr,Washington Sundar,GT,🇮🇳 India,2026,All-rounder,Retention
₹3 Cr,Angkrish Raghuvanshi,KKR,🇮🇳 India,2026,Batter,Retention
₹3 Cr,Tim David,RCB,🇸🇬 Singapore,2026,Batter,Retention
₹3 Cr,Mitchell Owen,PBKS,🌍 Overseas,2026,Batter,Auction
₹3 Cr,Jack Edwards,SRH,🌍 Overseas,2026,All-rounder,Auction
₹3 Cr,Tejasvi Singh,KKR,🇮🇳 India,2026,Batter,Auction
₹2.6 Cr,Sherfane Rutherford,MI,🇬🇾 West Indies (Guyana),2026,All-rounder,Retention
₹2.6 Cr,Suyash Sharma,RCB,🇮🇳 India,2026,Bowler,Retention
₹2.6 Cr,Jacob Bethell,RCB,🌍 Overseas,2026,All-rounder,Auction
₹2.4 Cr,Sam Curran,RR,🏴󠁧󠁢󠁥󠁮󠁧󠁿 England,2026,All-rounder,Trade
₹2.4 Cr,Shahbaz Ahmed,LSG,🇮🇳 India,2026,All-rounder,Retention
₹2.4 Cr,Azmatullah Omarzai,PBKS,🌍 Overseas,2026,All-rounder,Auction
₹2.2 Cr,Dewald Brevis,CSK,🇿🇦 South Africa,2026,Batter,Retention
₹2.2 Cr,Gurjapneet Singh,CSK,🇮🇳 India,2026,Bowler,Retention
₹2.2 Cr,Akshat Raghuwanshi,LSG,🇮🇳 India,2026,Batter,Auction
₹2 Cr,Akeal Hosein,CSK,🏝️ West Indies,2026,All-rounder,Retention
₹2 Cr,Matt Henry,CSK,🇳🇿 New Zealand,2026,Bowler,Retention
₹2 Cr,Nathan Ellis,CSK,🇦🇺 Australia,2026,Bowler,Retention
₹2 Cr,Kyle Jamieson,DC,🇳🇿 New Zealand,2026,All-rounder,Retention
₹2 Cr,Devdutt Padikkal,RCB,🇮🇳 India,2026,Batter,Retention
₹2 Cr,Shardul Thakur,MI,🇮🇳 India,2026,All-rounder,Retention
₹2 Cr,Sai Kishore,GT,🇮🇳 India,2026,Bowler,Retention
₹2 Cr,Mitchell Santner,MI,🇳🇿 New Zealand,2026,All-rounder,Retention
₹2 Cr,Glenn Phillips,GT,🌍 Overseas,2026,All-rounder,Auction
₹2 Cr,Aiden Markram,LSG,🌍 Overseas,2026,All-rounder,Auction
₹2 Cr,David Miller,LSG,🌍 Overseas,2026,Batter,Auction
₹2 Cr,Lockie Ferguson,PBKS,🌍 Overseas,2026,Bowler,Auction
₹2 Cr,Adam Milne,RR,🌍 Overseas,2026,Bowler,Auction
₹2 Cr,Ben Duckett,DC,🌍 Overseas,2026,Batter,Auction
₹2 Cr,Jacob Duffy,RCB,🌍 Overseas,2026,Bowler,Auction
₹2 Cr,Tom Banton,GT,🌍 Overseas,2026,WK-Batter,Auction
₹1.8 Cr,Vaibhav Arora,KKR,🇮🇳 India,2026,Bowler,Auction
₹1.8 Cr,Vijaykumar Vyshak,PBKS,🇮🇳 India,2026,Bowler,Auction
₹1.6 Cr,Nuwan Thushara,RCB,🇱🇰 Sri Lanka,2026,Bowler,Auction
₹1.6 Cr,Yash Thakur,PBKS,🇮🇳 India,2026,Bowler,Auction
₹1.5 Cr,Jamie Overton,CSK,🏴󠁧󠁢󠁥󠁮󠁧󠁿 England,2026,All-rounder,Retention
₹1.5 Cr,Matthew Short,CSK,🇦🇺 Australia,2026,Batter,Retention
₹1.5 Cr,Ajinkya Rahane,KKR,🇮🇳 India,2026,Batter,Retention
₹1.5 Cr,Rovman Powell,KKR,🌍 Overseas,2026,Batter,Auction
₹1.5 Cr,Harpreet Brar,PBKS,🇮🇳 India,2026,All-rounder,Auction
₹1.5 Cr,Kwena Maphaka,RR,🇿🇦 South Africa,2026,Bowler,Auction
₹1.5 Cr,Romario Shepherd,RCB,🌍 Overseas,2026,All-rounder,Auction
₹1.5 Cr,Spencer Johnson,CSK,🌍 Overseas,2026,Bowler,Replacement
₹1.5 Cr,Salil Arora,SRH,🇮🇳 India,2026,Bowler,Auction
₹1.3 Cr,Arshad Khan,DC,🇮🇳 India,2026,Bowler,Auction
₹1.3 Cr,Gurnoor Brar,GT,🇮🇳 India,2026,Bowler,Auction
₹1.2 Cr,Eshan Malinga,SRH,🌍 Overseas,2026,Bowler,Auction
₹1.1 Cr,Vaibhav Sooryavanshi,RR,🇮🇳 India,2026,Batter,Retention
₹1 Cr,Jaydev Unadkat,SRH,🇮🇳 India,2026,Bowler,Auction
₹1 Cr,Ryan Rickelton,MI,🇿🇦 South Africa,2026,WK-Batter,Auction
₹1 Cr,Quinton de Kock,MI,🌍 Overseas,2026,WK-Batter,Auction
₹1 Cr,Donovan Ferreira,RR,🇿🇦 South Africa,2026,All-rounder,Auction
₹1 Cr,Brydon Carse,SRH,🌍 Overseas,2026,Bowler,Auction
₹1 Cr,Naman Tiwari,LSG,🇮🇳 India,2026,Batter,Auction
₹95 Lakh,Sameer Rizvi,DC,🇮🇳 India,2026,Batter,Retention
₹95 Lakh,Vishnu Vinod,PBKS,🇮🇳 India,2026,WK-Batter,Auction
₹95 Lakh,Ravi Singh,RR,🇮🇳 India,2026,Bowler,Auction
₹90 Lakh,Sushant Mishra,RR,🇮🇳 India,2026,Bowler,Auction
₹90 Lakh,Ashok Sharma,GT,🇮🇳 India,2026,Bowler,Auction
₹80 Lakh,Xavier Bartlett,PBKS,🌍 Overseas,2026,Bowler,Auction
₹80 Lakh,Shubham Dubey,RR,🇮🇳 India,2026,Bowler,Auction
₹75 Lakh,Sarfaraz Khan,CSK,🇮🇳 India,2026,Batter,Auction
₹75 Lakh,Prithvi Shaw,DC,🇮🇳 India,2026,Batter,Retention
₹75 Lakh,Ishant Sharma,GT,🇮🇳 India,2026,Bowler,Retention
₹75 Lakh,Manish Pandey,KKR,🇮🇳 India,2026,Batter,Retention
₹75 Lakh,Rahul Tripathi,KKR,🇮🇳 India,2026,Batter,Retention
₹75 Lakh,Dushmantha Chameera,DC,🌍 Overseas,2026,Bowler,Auction
₹75 Lakh,Jayant Yadav,GT,🇮🇳 India,2026,All-rounder,Auction
₹75 Lakh,Umran Malik,KKR,🇮🇳 India,2026,Bowler,Auction
₹75 Lakh,Blessing Muzarabani,KKR,🌍 Overseas,2026,Bowler,Auction
₹75 Lakh,Moeen Ali,KKR,🌍 Overseas,2026,All-rounder,Auction
₹75 Lakh,Matthew Breetzke,LSG,🌍 Overseas,2026,Batter,Auction
₹75 Lakh,Manimaran Siddharth,LSG,🇮🇳 India,2026,Bowler,Auction
₹75 Lakh,Shamar Joseph,LSG,🌍 Overseas,2026,Bowler,Auction
₹75 Lakh,Corbin Bosch,MI,🌍 Overseas,2026,All-rounder,Auction
₹75 Lakh,Glenn Maxwell,PBKS,🇦🇺 Australia,2026,All-rounder,Auction
₹75 Lakh,Adam Zampa,SRH,🇦🇺 Australia,2026,Bowler,Auction
₹75 Lakh,Kamindu Mendis,SRH,🌍 Overseas,2026,All-rounder,Auction
₹75 Lakh,Zakary Foulkes,CSK,🌍 Overseas,2026,Bowler,Auction
₹75 Lakh,Kuldeep Sen,RR,🇮🇳 India,2026,Bowler,Auction
₹75 Lakh,Wiaan Mulder,SRH,🌍 Overseas,2026,All-rounder,Auction
₹75 Lakh,Luke Wood,GT,🌍 Overseas,2026,Bowler,Auction
₹65 Lakh,Robin Minz,MI,🇮🇳 India,2026,WK-Batter,Retention
₹65 Lakh,Kumar Kushagra,GT,🇮🇳 India,2026,WK-Batter,Auction
₹50 Lakh,Devon Conway,CSK,🇳🇿 New Zealand,2026,WK-Batter,Retention
₹50 Lakh,Karun Nair,DC,🇮🇳 India,2026,Batter,Retention
₹50 Lakh,Swapnil Singh,RCB,🇮🇳 India,2026,All-rounder,Retention
₹50 Lakh,Vipraj Nigam,DC,🇮🇳 India,2026,All-rounder,Auction
₹40 Lakh,Madhav Tiwari,DC,🇮🇳 India,2026,Bowler,Auction
₹40 Lakh,Anukul Roy,KKR,🇮🇳 India,2026,All-rounder,Auction
₹40 Lakh,Zeeshan Ansari,SRH,🇮🇳 India,2026,Bowler,Auction
₹35 Lakh,Yudhvir Charak,RR,🇮🇳 India,2026,Bowler,Auction
₹30 Lakh,Mukesh Choudhary,CSK,🇮🇳 India,2026,Bowler,Auction
₹30 Lakh,Ramakrishna Ghosh,CSK,🇮🇳 India,2026,WK-Batter,Auction
₹30 Lakh,Shreyas Gopal,CSK,🇮🇳 India,2026,Bowler,Auction
₹30 Lakh,Ayush Mhatre,CSK,🇮🇳 India,2026,Batter,Auction
₹30 Lakh,Ajay Jadav Mandal,DC,🇮🇳 India,2026,All-rounder,Auction
₹30 Lakh,Tripurana Vijay,DC,🇮🇳 India,2026,Batter,Auction
₹30 Lakh,Anuj Rawat,GT,🇮🇳 India,2026,WK-Batter,Auction
₹30 Lakh,Manav Suthar,GT,🇮🇳 India,2026,Bowler,Auction
₹30 Lakh,Darshan Nalkande,GT,🇮🇳 India,2026,Bowler,Auction
₹30 Lakh,Nishant Sindhu,GT,🇮🇳 India,2026,All-rounder,Auction
₹30 Lakh,Saurabh Dubey,KKR,🇮🇳 India,2026,Bowler,Auction
₹30 Lakh,Luvnith Sisodia,KKR,🇮🇳 India,2026,WK-Batter,Auction
₹30 Lakh,Manush Shah,KKR,🇮🇳 India,2026,Batter,Auction
₹30 Lakh,Akash Singh,LSG,🇮🇳 India,2026,Bowler,Auction
₹30 Lakh,Arjun Tendulkar,LSG,🇮🇳 India,2026,Bowler,Auction
₹30 Lakh,Arshin Kulkarni,LSG,🇮🇳 India,2026,Batter,Auction
₹30 Lakh,Digvesh Rathi,LSG,🇮🇳 India,2026,Bowler,Auction
₹30 Lakh,Himmat Singh,LSG,🇮🇳 India,2026,Batter,Auction
₹30 Lakh,Prince Yadav,LSG,🇮🇳 India,2026,Batter,Auction
₹30 Lakh,Yudhvir Singh,LSG,🇮🇳 India,2026,Bowler,Auction
₹30 Lakh,Ashwani Kumar,MI,🇮🇳 India,2026,Bowler,Auction
₹30 Lakh,Raghu Sharma,MI,🇮🇳 India,2026,Bowler,Auction
₹30 Lakh,Raj Angad Bawa,MI,🇮🇳 India,2026,All-rounder,Auction
₹30 Lakh,Bevon Jacobs,MI,🌍 Overseas,2026,Batter,Auction
₹30 Lakh,Mayank Markande,MI,🇮🇳 India,2026,Bowler,Auction
₹30 Lakh,Karn Sharma,MI,🇮🇳 India,2026,Bowler,Auction
₹30 Lakh,Harnoor Pannu,PBKS,🇮🇳 India,2026,Batter,Auction
₹30 Lakh,Musheer Khan,PBKS,🇮🇳 India,2026,Batter,Auction
₹30 Lakh,Pyla Avinash,PBKS,🇮🇳 India,2026,Bowler,Auction
₹30 Lakh,Suryansh Shedge,PBKS,🇮🇳 India,2026,Batter,Auction
₹30 Lakh,Lhuan-dre Pretorius,RR,🌍 Overseas,2026,All-rounder,Auction
₹30 Lakh,Abhinandan Singh,RCB,🇮🇳 India,2026,Bowler,Auction
₹30 Lakh,Kanishk Chouhan,RCB,🇮🇳 India,2026,Bowler,Auction
₹30 Lakh,Aneeshwar Gautam,RCB,🇮🇳 India,2026,WK-Batter,Auction
₹30 Lakh,Aniket Verma,SRH,🇮🇳 India,2026,Bowler,Auction
₹30 Lakh,Harsh Dubey,SRH,🇮🇳 India,2026,Bowler,Auction
₹30 Lakh,Ravichandran Smaran,SRH,🇮🇳 India,2026,Batter,Auction
₹30 Lakh,Simarjeet Singh,SRH,🇮🇳 India,2026,Bowler,Auction
₹30 Lakh,Vignesh Puthur,RR,🇮🇳 India,2026,Bowler,Auction
₹30 Lakh,Yash Raj Punja,RR,🇮🇳 India,2026,Bowler,Auction
₹30 Lakh,Aman Rao,RR,🇮🇳 India,2026,All-rounder,Auction
₹30 Lakh,Brijesh Sharma,RR,🇮🇳 India,2026,Bowler,Auction
₹30 Lakh,Shivang Kumar,SRH,🇮🇳 India,2026,Bowler,Auction
